Appliances,Quantity,Rating (W),Usage hrs (0 to 4),Usage hrs (4 to 7),Usage hrs (7 to 10),Usage hrs (10 to 13),Usage hrs (13 to 16),Usage hrs (16 to 19),Usage hrs (19 to 22),Usage hrs (22 to 0),critical,"	Note",
Television,1,40,0,0,1,1.5,2,2,3,1,yes,Mostly on during day when stayhome maids/children are available," very active at nightwhen everyone is back from work or school"""
Laptop charging,2,60,0,2,0,0,0.2,0.2,1,1,yes,Assume mostly night time and early morning charging,
Bluetooth subwoofer,1,75,0.2,0,0,0,0,0.5,1.5,0.5,yes,Assume mostly night time use,
Phone charging,4,20,0,0.6,0.1,0.1,0.1,0.1,0.5,1,yes,Night time/ early morning charging common,
Bedroom lights,6,5,0.2,1.2,1.5,0,0,1,3,1.5,yes,Mostly night time,
Living room lights,4,5,0,1,1,0,0,0.5,3,1,yes,Mostly night time,
Kitchen lights,3,5,0,0.5,0.5,0,0,0.2,2,0.2,yes,Mostly night time,
Corridor lights,3,5,0,0.5,1,0,0,0.5,2,0.5,yes,Mostly night time,
Bathroom lights,3,5,0,0.5,0.1,0,0,0.1,0.5,0.1,yes,Considerig night bathroom hours,
Security lights,4,10,4,3,0.5,0,0,0.5,3,2,yes,On all night,
Paccolator,1,1000,0,0,0.1,0,0.1,0,0.1,0,no,assume use 3 times a day,
Microwave,1,1000,0,0,0.1,0,0,0,0,0,no,assume use one a day,
Flat iron,1,1200,0,0,0.5,0,0,0,0.2,0,no,assume early morning use and before bed time,
Router,1,10,3,3,3,3,3,3,3,3,yes,on 24/7,
Fridge,1,400,0,1,3,3,3,3,2,0,no,on from 6 am to 9 pm,
